y,x,iso3
1,1,ESH
1,2,MAR
1,3,DZA
1,4,LBY
1,5,0
1,6,0
1,7,0
2,1,SEN
2,2,MRT
2,3,MLI
2,4,NER
2,5,EGY
2,6,0
2,7,0
3,1,GMB
3,2,GNB
3,3,BFA
3,4,NGA
3,5,SDN
3,6,0
3,7,0
4,1,SLE
4,2,GIN
4,3,CIV
4,4,TCD
4,5,SSD
4,6,ERI
4,7,0
5,1,LBR
5,2,BEN
5,3,CMR
5,4,CAF
5,5,DJI
5,6,SOM
5,7,0
6,1,0
6,2,GHA
6,3,TGO
6,4,COD
6,5,UGA
6,6,ETH
6,7,0
7,1,0
7,2,0
7,3,GNQ
7,4,BDI
7,5,RWA
7,6,KEN
7,7,0
8,1,0
8,2,0
8,3,GAB
8,4,MWI
8,5,TZA
8,6,0
8,7,0
9,1,0
9,2,0
9,3,COG
9,4,ZMB
9,5,MOZ
9,6,0
9,7,MDG
10,1,0
10,2,0
10,3,AGO
10,4,BWA
10,5,ZWE
10,6,0
10,7,0
11,1,0
11,2,0
11,3,NAM
11,4,SWZ
11,5,LSO
11,6,0
11,7,0
12,1,0
12,2,0
12,3,0
12,4,ZAF
12,5,0
12,6,0
12,7,0
